county_name,fips,land_area_square_miles_2010,primary_ruca_code_2010,secondary_ruca_code_2010,tract_population_2010,tract_population_2018,population_estimate_2010,population_estimate_2011,population_estimate_2012,population_estimate_2013,population_estimate_2014,population_estimate_2015,population_estimate_2016,population_estimate_2018,pct_black_pop_2010,pct_black_pop_2018,pct_white_pop_2010,pct_white_pop_2018,groc09,groc14,superc09,superc14,convs09,convs14,specs09,specs14,poverty_rate,median_family_income,pct_hhold_no_veh,pct_hhold_1_veh,pct_hhold_2plus_veh,food_desert_2010,food_desert_2017
Bladen,37017950600,195.2023932,9,9,6453,5995,35190,35004,34922,34810,34531,34266,33741,33778,0.348621768,0.350139144,0.56283035,0.57137782,8,7,0,0,22,21,0,0,23.5,42011,0.080670927,0.311102236,0.608226837,NA,1
Brunswick,37019020101,30.42579309,2,2,2706,2589,107431,110223,112163,115287,118809,122622,126953,126860,0.114408318,0.103231909,0.830235221,0.837127542,22,20,3,3,49,41,12,13,27.2,45452,0.052064632,0.456912029,0.491023339,NA,0
Brunswick,37019020102,14.56334238,1,1,2839,4524,107431,110223,112163,115287,118809,122622,126953,126860,0.114408318,0.103231909,0.830235221,0.837127542,22,20,3,3,49,41,12,13,17.5,49840,0.067724868,0.306349206,0.625925926,NA,0
Brunswick,37019020103,17.3734608,1,1,7052,8420,107431,110223,112163,115287,118809,122622,126953,126860,0.114408318,0.103231909,0.830235221,0.837127542,22,20,3,3,49,41,12,13,14.1,70139,0.053714591,0.300641368,0.645644041,NA,0
Brunswick,37019020104,9.14303464,1,1,5305,6252,107431,110223,112163,115287,118809,122622,126953,126860,0.114408318,0.103231909,0.830235221,0.837127542,22,20,3,3,49,41,12,13,24.7,46812,0.055367709,0.291631445,0.653000845,NA,1
Brunswick,37019020201,3.556955476,1,1,3300,4017,107431,110223,112163,115287,118809,122622,126953,126860,0.114408318,0.103231909,0.830235221,0.837127542,22,20,3,3,49,41,12,13,10.3,66364,0.042227662,0.345165239,0.612607099,NA,0
Brunswick,37019020202,78.68664102,1,1,5719,8097,107431,110223,112163,115287,118809,122622,126953,126860,0.114408318,0.103231909,0.830235221,0.837127542,22,20,3,3,49,41,12,13,13.8,70148,0.022824102,0.253195374,0.723980523,NA,0
Brunswick,37019020203,22.62850253,2,2,2517,2674,107431,110223,112163,115287,118809,122622,126953,126860,0.114408318,0.103231909,0.830235221,0.837127542,22,20,3,3,49,41,12,13,9.7,63611,0.026759167,0.299306244,0.673934589,NA,0
Brunswick,37019020204,55.14437557,4,4,5391,6475,107431,110223,112163,115287,118809,122622,126953,126860,0.114408318,0.103231909,0.830235221,0.837127542,22,20,3,3,49,41,12,13,12.2,42500,0.052250804,0.309083601,0.638665595,NA,1
Brunswick,37019020303,22.07172813,5,5,2712,3698,107431,110223,112163,115287,118809,122622,126953,126860,0.114408318,0.103231909,0.830235221,0.837127542,22,20,3,3,49,41,12,13,18.6,58009,0.062043796,0.238442822,0.699513382,NA,0
Brunswick,37019020304,13.39689798,4,4,4846,7592,107431,110223,112163,115287,118809,122622,126953,126860,0.114408318,0.103231909,0.830235221,0.837127542,22,20,3,3,49,41,12,13,4,78269,0.004748603,0.156703911,0.838547486,NA,0
Brunswick,37019020305,4.415378372,4,4,2774,2750,107431,110223,112163,115287,118809,122622,126953,126860,0.114408318,0.103231909,0.830235221,0.837127542,22,20,3,3,49,41,12,13,12.4,60450,0.030757689,0.450862716,0.518379595,NA,0
Brunswick,37019020306,10.39859451,4,4,2352,2258,107431,110223,112163,115287,118809,122622,126953,126860,0.114408318,0.103231909,0.830235221,0.837127542,22,20,3,3,49,41,12,13,15.4,71084,0.007585335,0.388116308,0.604298357,NA,0
Brunswick,37019020307,9.66857414,10,10,158,234,107431,110223,112163,115287,118809,122622,126953,126860,0.114408318,0.103231909,0.830235221,0.837127542,22,20,3,3,49,41,12,13,5,95750,0.460992908,0.319148936,0.219858156,NA,0
Brunswick,37019020308,2.200592435,4,4,1648,1721,107431,110223,112163,115287,118809,122622,126953,126860,0.114408318,0.103231909,0.830235221,0.837127542,22,20,3,3,49,41,12,13,5.8,71000,0.005561735,0.295884316,0.698553949,NA,0
Brunswick,37019020309,2.297544236,4,4,2734,3090,107431,110223,112163,115287,118809,122622,126953,126860,0.114408318,0.103231909,0.830235221,0.837127542,22,20,3,3,49,41,12,13,7.6,55625,0.006729475,0.331090175,0.66218035,NA,0
Brunswick,37019020310,6.085262171,4,4,2149,2441,107431,110223,112163,115287,118809,122622,126953,126860,0.114408318,0.103231909,0.830235221,0.837127542,22,20,3,3,49,41,12,13,12.2,51656,0.0353902,0.237749546,0.726860254,NA,0
Brunswick,37019020402,6.76103287,7,7,2359,3178,107431,110223,112163,115287,118809,122622,126953,126860,0.114408318,0.103231909,0.830235221,0.837127542,22,20,3,3,49,41,12,13,22.1,63830,0.044776119,0.253731343,0.701492537,NA,0
Brunswick,37019020403,11.89518253,7,7,4571,5191,107431,110223,112163,115287,118809,122622,126953,126860,0.114408318,0.103231909,0.830235221,0.837127542,22,20,3,3,49,41,12,13,21.6,34821,0.013888889,0.332885305,0.653225806,NA,0
Brunswick,37019020404,14.29266043,3,3,3092,2876,107431,110223,112163,115287,118809,122622,126953,126860,0.114408318,0.103231909,0.830235221,0.837127542,22,20,3,3,49,41,12,13,22.7,30764,0.027993779,0.405909798,0.566096423,NA,0
